"tabela 1.1.35.2 - distribuição das pessoas de 10 anos ou mais de idade que utilizaram a internet, no período de referência dos últimos três meses, por classes de rendimento mensal, segundo as grandes regiões, as unidades da federação e as regiões metropolitanas - 2015",unnamed: 11,unnamed: 12,unnamed: 13,unnamed: 14,unnamed: 15,unnamed: 16,unnamed: 17,unnamed: 18,unnamed: 19,"tabela 1.1.35.3 - percentual de pessoas que utilizaram a internet, no período de referência dos últimos três meses, na população de pessoas de 10 anos ou mais de idade, por classes de rendimento mensal, segundo as grandes regiões, as unidades da federação e as regiões metropolitanas - 2015",unnamed: 21,unnamed: 22,unnamed: 23,unnamed: 24,unnamed: 25,unnamed: 26,unnamed: 27,unnamed: 28,unnamed: 29
Rio de Janeiro,100,32.8,2.9,3,26.2,13.5,9.4,6.7,3.9,Rio de Janeiro,66.3,74.7,57.1,52.2,53.1,65.2,77.8,86.8,91.9
Região Metropolitana do Rio de Janeiro,100,32.3,2.8,2.9,25.4,14,9.6,7.1,4.4,Região Metropolitana do Rio de Janeiro,69.9,78.5,60.8,55.9,56.4,68.7,79.9,88.4,91.8
São Paulo,100,31.5,2.3,2.6,23.3,15.6,11.4,7.1,3.6,São Paulo,69.5,75.7,61.2,64.9,55.2,69.3,79,87.9,95.2
Região Metropolitana de São Paulo,100,31.9,2.2,2.3,22.1,14.9,11,7.9,4.5,Região Metropolitana de São Paulo,73.1,78.1,63.3,65.3,58.6,73.1,81.5,91.9,95.8
Sul,100,28.5,2.6,3.3,24.5,16.8,12,7.8,3.3,Sul,61.1,70.1,48.3,54.1,46.4,61.1,73.6,83.6,90.8
Paraná,100,30.1,2.6,3.3,24,15.8,11.7,8,3.6,Paraná,60.5,67.6,44,50.9,45.1,61.8,77.4,88.3,93.1
Região Metropolitana de Curitiba,100,29.3,1.6,2.2,21,17,13.4,9.5,5.1,Região Metropolitana de Curitiba,68.2,72.1,51.1,57.5,52,66.9,81.3,92.5,94.4
Santa Catarina,100,26.6,1.7,2.6,22.6,19.5,14.3,8.3,3,Santa Catarina,62.3,69.9,55.3,57.4,46.9,61.3,73.6,84.6,86.7
Rio Grande do Sul,100,28.2,3.2,3.8,26.3,16,10.9,7.2,3.3,Rio Grande do Sul,61.1,73,50,55.9,47.4,60.4,69.9,78.6,90.8
Região Metropolitana de Porto Alegre,100,27.1,2.4,3.2,26.1,16.1,11.4,7.5,4.4,Região Metropolitana de Porto Alegre,70.1,77.9,63.1,69.3,56.3,71.1,78.7,85.7,92.5
Centro-Oeste,100,31.8,3.5,3.5,25,13.7,9.6,7.7,4.5,Centro-Oeste,64,72.2,53.1,57.2,49.9,62.8,74.6,86.3,92.8
Mato Grosso do Sul,100,30.2,4.1,4,26.3,13.5,10.3,8,3.5,Mato Grosso do Sul,63.7,73.6,50.4,60.1,50.2,61.6,75.8,87.3,91.2
Mato Grosso,100,32.1,4,3,25.4,14.7,10.7,6.3,2.8,Mato Grosso,55.2,62.7,46.1,44.1,43.1,55,68.8,77.7,86.6
Goiás,100,32.4,3.9,3.9,27.4,14.7,9.3,5.8,1.9,Goiás,61.8,71,54.6,57.8,48.9,62.6,73.6,85,88.4
Distrito Federal,100,31.9,2.1,2.6,19.4,11.5,8.9,11.8,11.1,Distrito Federal,78.4,83.3,67,70.1,63.1,75,82.1,91.1,95.9
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,,,,,"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,,,,
