"tabela 1.1.28.2 - distribuição das pessoas de 10 anos ou mais de idade que utilizaram a internet, no período de referência dos últimos três meses, por grupos de anos de estudo, segundo as grandes regiões, as unidades da federação e as regiões metropolitanas - 2015",unnamed: 9,unnamed: 10,unnamed: 11,unnamed: 12,unnamed: 13,unnamed: 14,unnamed: 15,"tabela 1.1.28.3 - percentual de pessoas que utilizaram a internet, no período de referência dos últimos três meses, na população de 10 anos ou mais de idade, por grupos de anos de estudo, segundo as grandes regiões, as unidades da federação e as regiões metropolitanas - 2015",unnamed: 17,unnamed: 18,unnamed: 19,unnamed: 20,unnamed: 21,unnamed: 22,unnamed: 23
Nordeste,100,5.7,21.1,19.8,41.2,12.1,0.2,Nordeste,45.1,9.3,37.4,57.3,74.6,88.8,45.2
Maranhão,100,4.4,20,22.1,42.4,11,0.2,Maranhão,34.3,5,27,45,63.1,83.7,40
Piauí,100,4.6,21.2,24,36.1,14.1,0.1,Piauí,38.8,5.8,30.5,56.7,71.1,88,100
Ceará,100,4.4,18.8,21.8,44,10.9,0.1,Ceará,43.4,7,35.1,54.4,72.7,85.9,41.4
Região Metropolitana de Fortaleza,100,4.2,18.5,20.5,44.9,11.6,0.2,Região Metropolitana de Fortaleza,58.3,14.1,47.9,62.6,78.7,90.8,68.4
Rio Grande do Norte,100,6,22.5,17.2,40.8,13.1,0.3,Rio Grande do Norte,52.8,13,44.4,61.3,81.4,92.7,70
Paraíba,100,7.1,21.5,18.3,38.5,14.5,0.1,Paraíba,51,12.7,44.6,64.7,81.5,86.1,80
Pernambuco,100,6.3,19.3,18.9,41.2,14.1,0.2,Pernambuco,45.8,11.1,35.4,56.2,73,86.3,36.7
Região Metropolitana de Recife,100,5.3,17.5,17.2,44.9,14.9,0.1,Região Metropolitana de Recife,60.2,20.2,46.5,63.6,77.6,87.6,64.7
Alagoas,100,6.4,24.9,19.2,36.3,13.1,0.2,Alagoas,41.3,8.4,35.9,56.1,74.9,89.7,50
Sergipe,100,6.9,25.8,18.8,37.9,10.3,0.3,Sergipe,51.2,12.6,49,64.7,80,91.7,81.8
Bahia,100,6,21.6,19.2,42.4,10.7,0.1,Bahia,48.3,10.5,40.9,62.5,77.5,93.8,33.5
Região Metropolitana de Salvador,100,5.3,17.7,16.6,46.8,13.5,0,Região Metropolitana de Salvador,71,30,56.9,71.7,85.5,95.6,75
Sudeste,100,4.6,16.7,19.1,42.2,17.3,0.1,Sudeste,65.1,21.7,46.2,70.2,83.8,93.7,72
Minas Gerais,100,4.4,20.6,19.9,40.3,14.7,0.1,Minas Gerais,56.2,13.8,39.4,68.5,82,94.5,74.4
Região Metropolitana de Belo Horizonte,100,4.8,17.8,18.5,41.5,17.3,0.1,Região Metropolitana de Belo Horizonte,68.6,25.8,49.9,73.2,86.2,96.5,77.8
Espírito Santo,100,5.1,18.9,18.6,40.5,16.7,0.1,Espírito Santo,58.5,16.9,43.4,65.2,80.9,90.2,66.7
Rio de Janeiro,100,5.3,16.3,19.3,40.5,18.4,0.1,Rio de Janeiro,66.3,27.6,50.6,66.5,80.9,92.3,70.7
Região Metropolitana do Rio de Janeiro,100,5.2,15.3,19,40.8,19.7,0.1,Região Metropolitana do Rio de Janeiro,69.9,32.2,54.1,68.1,82.4,93,66.7
São Paulo,100,4.4,15.3,18.7,43.7,17.9,0,São Paulo,69.5,25.5,49.3,72.8,85.7,94.2,71.8
Região Metropolitana de São Paulo,100,4.4,13.9,18.3,43.3,20,0,Região Metropolitana de São Paulo,73.1,30.9,51.6,74.7,86.5,95.9,100
Sul,100,4.8,18.3,20.1,39.1,17.5,0.2,Sul,61.1,19.9,42.2,67.5,83,92.6,66
Paraná,100,4.4,17.5,19.1,40.2,18.4,0.3,Paraná,60.5,16.4,44.4,65.7,81.4,93.2,58.9
Região Metropolitana de Curitiba,100,4.2,15.2,17.2,41,22.2,0.2,Região Metropolitana de Curitiba,68.2,23.2,49.8,66.2,84.5,95,75
Santa Catarina,100,5.2,16.2,20.1,40.4,17.8,0.3,Santa Catarina,62.3,24.5,40.7,66.2,81.8,92.5,75
Rio Grande do Sul,100,4.9,20.3,21,37.2,16.5,0,Rio Grande do Sul,61.1,21.2,41.2,70,85.8,92,100
Região Metropolitana de Porto Alegre,100,5,18.2,19.9,38.5,18.3,0.1,Região Metropolitana de Porto Alegre,70.1,30.2,51.2,73.1,88,93.9,100
Centro-Oeste,100,5.3,19,18.8,38.5,18.3,0.1,Centro-Oeste,64,20.8,50.8,68.7,82.8,93.6,55.1
Mato Grosso do Sul,100,6.4,22.9,18.1,35.7,16.7,0.2,Mato Grosso do Sul,63.7,21.6,53.8,73.2,84.8,94,80
Mato Grosso,100,5.9,17.8,21.4,39.5,15.3,0.1,Mato Grosso,55.2,17.2,43.2,58.5,75.6,91.4,23.1
Goiás,100,4.9,20.3,20.3,39.3,15.3,0,Goiás,61.8,18.4,48.4,69.9,82.2,91.9,50
Distrito Federal,100,4.8,14.8,14.6,38.5,27.2,0.1,Distrito Federal,78.4,34,64.9,76.3,89.2,96.2,80
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,,,"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,,
,,,,,,,,(1) Inclusive as pessoas com anos de estudo não determinados.,,,,,,,
