"tabela 1.3.23.2 - distribuição das pessoas de 10 anos ou mais de idade que tinham telefone móvel celular para uso pessoal, por grupos de anos de estudo, segundo as grandes regiões, as unidades da federação e as regiões metropolitanas - 2015",unnamed: 9,unnamed: 10,unnamed: 11,unnamed: 12,unnamed: 13,unnamed: 14,unnamed: 15,"tabela 1.3.23.3 - percentual de pessoas que tinham telefone móvel celular para uso pessoal, na população de 10 anos ou mais de idade, por grupos de anos de estudo, segundo as grandes regiões, as unidades da federação e as regiões metropolitanas - 2015",unnamed: 17,unnamed: 18,unnamed: 19,unnamed: 20,unnamed: 21,unnamed: 22,unnamed: 23
Região Metropolitana de Recife,100,10.3,21.2,17.4,39.3,11.8,0.1,Região Metropolitana de Recife,84.6,55.1,79,90,95.5,97.3,76.5
Alagoas,100,18.6,28.6,16.9,27.3,8.6,0.1,Alagoas,67.2,40.2,67.1,80.6,91.7,96,50
Sergipe,100,17.9,26.8,17.5,30.1,7.4,0.2,Sergipe,76.4,48.9,75.8,90.1,95.1,98,81.8
Bahia,100,16.3,24.2,17.3,34.6,7.5,0.1,Bahia,71.3,42.1,67.4,83.3,93.2,97.4,57.8
Região Metropolitana de Salvador,100,8,20.7,17.1,42.8,11.3,0,Região Metropolitana de Salvador,87.9,56.7,82.2,91.7,96.7,99.1,75
Sudeste,100,8.5,21,18.9,37.5,14.1,0.1,Sudeste,82.6,50.7,73.6,88.1,94.4,96.9,86.9
Minas Gerais,100,10.8,27.2,18.3,32.8,10.7,0.1,Minas Gerais,79.8,48.5,73.9,89.5,94.9,97.7,94.9
Região Metropolitana de Belo Horizonte,100,8.7,22.4,18.5,36.4,13.9,0.1,Região Metropolitana de Belo Horizonte,87.2,59.4,79.9,93.1,96.1,98.3,100
Espírito Santo,100,10.6,23.6,18.3,34.4,13,0.1,Espírito Santo,81.1,49,75.1,89,95.3,96.9,83.4
Rio de Janeiro,100,7.9,19.2,20.3,37.2,15.4,0.1,Rio de Janeiro,83.1,51,74.4,87.4,93.1,96.7,82.5
Região Metropolitana do Rio de Janeiro,100,6.8,17.6,20.1,38.4,17.1,0.1,Região Metropolitana do Rio de Janeiro,84.3,51.3,74.8,86.6,93.5,97.2,75
São Paulo,100,7.4,18.7,18.7,39.9,15.2,0,São Paulo,83.9,52.3,72.9,87.6,94.5,96.6,81.8
Região Metropolitana de São Paulo,100,6.7,16.8,18.3,40.7,17.5,0,Região Metropolitana de São Paulo,85.1,53.9,72.4,87.3,94.6,97.5,83.3
Sul,100,9.5,24.1,19.7,32.9,13.6,0.2,Sul,82.8,53.5,75.1,89.7,94.8,97.3,90
Paraná,100,10,21.8,19,34.6,14.2,0.4,Paraná,81.5,50.2,74.3,88.2,94.2,97,89.9
Região Metropolitana de Curitiba,100,6.7,18.6,18.6,37.3,18.5,0.2,Região Metropolitana de Curitiba,84.3,45.5,75.6,89,95.1,98,91.7
Santa Catarina,100,8.1,21.2,20.3,35.7,14.4,0.3,Santa Catarina,81,49.9,69.1,86.7,94.1,97.5,90
Rio Grande do Sul,100,9.8,27.8,20,29.8,12.5,0,Rio Grande do Sul,85.2,59.4,78.7,93,95.9,97.3,90.8
Região Metropolitana de Porto Alegre,100,8.3,23.4,19.9,33.2,15.1,0.1,Região Metropolitana de Porto Alegre,88.9,63.4,83.4,92.9,96.5,98.3,87.5
Centro-Oeste,100,11.6,22.5,18.6,33.1,14.2,0.1,Centro-Oeste,86.9,62,81.6,92.2,96.7,98.6,87
Mato Grosso do Sul,100,13.4,26.1,17.1,30.3,13,0.2,Mato Grosso do Sul,86.7,61.8,83.3,94.2,97.9,99.5,80
Mato Grosso,100,13.6,20.3,21.9,33,11,0.2,Mato Grosso,83.3,60.4,74.5,90.2,95.1,99.1,92.3
Goiás,100,11.7,24.7,19.1,32.9,11.5,0,Goiás,87,62.7,83.1,92.2,96.9,97.5,100
Distrito Federal,100,7.6,16.6,15.4,36.1,24.2,0.1,Distrito Federal,90.7,63,84.2,93,96.8,98.9,80
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,,,"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,,
,,,,,,,,(1) Inclusive as pessoas com anos de estudo instrução não determinado.,,,,,,,
